Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU
I1,10/10/2022,19:45,Fiorentina,Lazio,0,4,A,2.47,3.44,2.87,1.87,1.96
I1,15/10/2022,14:00,Empoli,Monza,1,0,H,2.54,3.31,2.87,1.95,1.87
I1,15/10/2022,17:00,Torino,Juventus,0,1,A,3.05,3.17,2.5,2.28,1.64
I1,15/10/2022,19:45,Atalanta,Sassuolo,2,1,H,1.66,4.15,4.94,1.67,2.22
I1,16/10/2022,11:30,Inter,Salernitana,2,0,H,1.29,5.85,10.02,1.47,2.68
I1,16/10/2022,14:00,Lazio,Udinese,0,0,D,2.19,3.61,3.23,1.68,2.21
I1,16/10/2022,14:00,Spezia,Cremonese,2,2,D,2.47,3.17,3.07,1.99,1.84
I1,16/10/2022,17:00,Napoli,Bologna,3,2,H,1.26,6.0,11.54,1.55,2.45
I1,16/10/2022,19:45,Verona,Milan,1,2,A,5.98,4.19,1.56,1.77,2.06
I1,17/10/2022,17:30,Sampdoria,Roma,0,1,A,5.01,3.75,1.73,1.94,1.87
I1,17/10/2022,19:45,Lecce,Fiorentina,1,1,D,3.83,3.32,2.07,2.13,1.72
I1,21/10/2022,19:45,Juventus,Empoli,4,0,H,1.4,4.94,7.8,1.68,2.22
I1,22/10/2022,14:00,Salernitana,Spezia,1,0,H,2.02,3.49,3.8,1.95,1.87
I1,22/10/2022,17:00,Milan,Monza,4,1,H,1.4,4.88,7.9,1.64,2.27
I1,22/10/2022,19:45,Fiorentina,Inter,3,4,A,3.63,3.54,2.05,1.79,2.04
I1,23/10/2022,11:30,Udinese,Torino,1,2,A,2.03,3.37,3.91,2.02,1.8
I1,23/10/2022,14:00,Bologna,Lecce,2,0,H,2.19,3.21,3.62,2.21,1.67
I1,23/10/2022,17:00,Atalanta,Lazio,0,2,A,1.98,3.69,3.75,1.71,2.16
I1,23/10/2022,19:45,Roma,Napoli,0,1,A,2.89,3.52,2.41,1.79,2.03
I1,24/10/2022,17:30,Cremonese,Sampdoria,0,1,A,2.46,3.32,2.95,1.94,1.87
I1,24/10/2022,19:45,Sassuolo,Verona,2,1,H,1.96,3.61,3.82,1.71,2.13
I1,29/10/2022,14:00,Napoli,Sassuolo,4,0,H,1.29,5.91,9.52,1.44,2.73
I1,29/10/2022,17:00,Lecce,Juventus,0,1,A,4.42,3.42,1.89,2.15,1.7
I1,29/10/2022,19:45,Inter,Sampdoria,3,0,H,1.25,6.15,12.03,1.53,2.48
I1,30/10/2022,11:30,Empoli,Atalanta,0,2,A,4.35,3.79,1.8,1.76,2.06
I1,30/10/2022,14:00,Cremonese,Udinese,0,0,D,4.01,3.76,1.87,1.73,2.1
I1,30/10/2022,14:00,Spezia,Fiorentina,1,2,A,4.1,3.59,1.89,1.91,1.89
I1,30/10/2022,17:00,Lazio,Salernitana,1,3,A,1.49,4.53,6.35,1.63,2.27
I1,30/10/2022,19:45,Torino,Milan,2,1,H,3.63,3.33,2.12,2.13,1.72
I1,31/10/2022,17:30,Verona,Roma,1,3,A,4.32,3.59,1.84,1.91,1.88
I1,31/10/2022,19:45,Monza,Bologna,1,2,A,2.22,3.33,3.32,1.91,1.88
I1,04/11/2022,19:45,Udinese,Lecce,1,1,D,1.65,3.85,5.66,1.94,1.88
I1,05/11/2022,14:00,Empoli,Sassuolo,1,0,H,2.79,3.48,2.51,1.7,2.17
I1,05/11/2022,14:00,Salernitana,Cremonese,2,2,D,2.17,3.42,3.43,1.97,1.85
I1,05/11/2022,17:00,Atalanta,Napoli,1,2,A,3.39,3.69,2.1,1.68,2.21
I1,05/11/2022,19:45,Milan,Spezia,2,1,H,1.22,6.54,13.51,1.56,2.4
I1,06/11/2022,11:30,Bologna,Torino,2,1,H,3.05,3.13,2.51,2.28,1.64
I1,06/11/2022,14:00,Monza,Verona,2,0,H,2.2,3.45,3.32,1.88,1.93
I1,06/11/2022,14:00,Sampdoria,Fiorentina,0,2,A,4.06,3.49,1.95,2.02,1.81
I1,06/11/2022,17:00,Roma,Lazio,0,1,A,2.03,3.52,3.74,1.91,1.91
I1,06/11/2022,19:45,Juventus,Inter,2,0,H,3.05,3.35,2.39,1.96,1.86
I1,08/11/2022,17:30,Napoli,Empoli,2,0,H,1.24,6.61,11.31,1.4,2.95
I1,08/11/2022,17:30,Spezia,Udinese,1,1,D,4.01,3.56,1.94,1.93,1.89
I1,08/11/2022,19:45,Cremonese,Milan,0,0,D,6.15,4.28,1.54,1.72,2.14
I1,09/11/2022,17:30,Lecce,Atalanta,2,1,H,4.7,3.6,1.8,2.02,1.81
I1,09/11/2022,17:30,Sassuolo,Roma,1,1,D,3.48,3.58,2.1,1.8,2.04
I1,09/11/2022,19:45,Fiorentina,Salernitana,2,1,H,1.54,4.32,6.07,1.76,2.09
I1,09/11/2022,19:45,Inter,Bologna,6,1,H,1.31,5.59,9.7,1.55,2.45
I1,09/11/2022,19:45,Torino,Sampdoria,2,0,H,1.63,3.81,5.88,2.12,1.74
I1,10/11/2022,17:30,Verona,Juventus,0,1,A,5.26,3.82,1.69,1.96,1.86
I1,10/11/2022,19:45,Lazio,Monza,1,0,H,1.62,4.13,5.37,1.72,2.14
I1,11/11/2022,19:45,Empoli,Cremonese,2,0,H,2.52,3.33,2.88,1.92,1.9
I1,12/11/2022,14:00,Napoli,Udinese,3,2,H,1.48,4.7,6.23,1.57,2.41
I1,12/11/2022,17:00,Sampdoria,Lecce,0,2,A,2.66,3.05,2.93,2.43,1.56
I1,12/11/2022,19:45,Bologna,Sassuolo,3,0,H,2.34,3.5,3.01,1.83,2.0
I1,13/11/2022,11:30,Atalanta,Inter,2,3,A,3.07,3.59,2.27,1.7,2.17
I1,13/11/2022,14:00,Monza,Salernitana,3,0,H,2.1,3.39,3.63,1.85,1.96
I1,13/11/2022,14:00,Roma,Torino,1,1,D,1.92,3.44,4.28,2.19,1.68
I1,13/11/2022,14:00,Verona,Spezia,1,2,A,2.11,3.47,3.52,1.88,1.94
I1,13/11/2022,17:00,Milan,Fiorentina,2,1,H,1.72,3.87,4.84,1.87,1.95
I1,13/11/2022,19:45,Juventus,Lazio,3,0,H,2.0,3.44,3.95,2.01,1.82
I1,04/01/2023,11:30,Salernitana,Milan,1,2,A,6.87,4.47,1.48,1.74,2.11
I1,04/01/2023,11:30,Sassuolo,Sampdoria,1,2,A,1.76,3.75,4.73,1.93,1.89
I1,04/01/2023,13:30,Spezia,Atalanta,2,2,D,4.74,4.0,1.71,1.73,2.13
I1,04/01/2023,13:30,Torino,Verona,1,1,D,1.85,3.6,4.42,2.0,1.82
I1,04/01/2023,15:30,Lecce,Lazio,2,1,H,3.72,3.26,2.13,2.3,1.63
I1,04/01/2023,15:30,Roma,Bologna,1,0,H,1.63,3.87,5.72,2.04,1.79
I1,04/01/2023,17:30,Cremonese,Juventus,0,1,A,5.14,3.81,1.7,1.98,1.85
I1,04/01/2023,17:30,Fiorentina,Monza,1,1,D,1.72,3.88,4.85,1.88,1.94
I1,04/01/2023,19:45,Inter,Napoli,1,0,H,2.3,3.44,3.12,1.69,2.19
I1,04/01/2023,19:45,Udinese,Empoli,1,1,D,1.62,3.96,5.69,1.69,2.19
I1,07/01/2023,14:00,Fiorentina,Sassuolo,2,1,H,1.72,3.95,4.75,1.77,2.07
I1,07/01/2023,17:00,Juventus,Udinese,1,0,H,1.78,3.75,4.66,1.95,1.88
I1,07/01/2023,19:45,Monza,Inter,2,2,D,5.62,4.39,1.56,1.67,2.23
I1,08/01/2023,11:30,Salernitana,Torino,1,1,D,3.67,3.26,2.15,2.16,1.7
I1,08/01/2023,14:00,Lazio,Empoli,2,2,D,1.55,4.32,5.94,1.74,2.12
I1,08/01/2023,14:00,Spezia,Lecce,0,0,D,2.62,3.08,2.95,2.2,1.69
I1,08/01/2023,17:00,Sampdoria,Napoli,0,2,A,8.2,4.82,1.4,1.76,2.09
I1,08/01/2023,19:45,Milan,Roma,2,2,D,1.87,3.59,4.35,2.06,1.79
I1,09/01/2023,17:30,Verona,Cremonese,2,0,H,2.08,3.38,3.73,1.91,1.91
I1,09/01/2023,19:45,Bologna,Atalanta,1,2,A,3.42,3.44,2.16,1.88,1.94
I1,13/01/2023,19:45,Napoli,Juventus,5,1,H,1.96,3.49,4.06,2.04,1.8
I1,14/01/2023,14:00,Cremonese,Monza,2,3,A,2.86,3.32,2.54,2.05,1.79
I1,14/01/2023,17:00,Lecce,Milan,2,2,D,5.82,3.95,1.61,1.99,1.84
