Div,Date,Time,HomeTeam,AwayTeam,HG,AG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU,x,y,isOver
IT1,09/10/2022,14:00,Monza,Spezia,2,0,H,1.91,3.58,4.14,2,1.83,0.014632249244839324,0.015663094970203153,Under
IT1,09/10/2022,14:00,Salernitana,Verona,2,1,H,2.45,3.46,2.88,1.82,2.01,0.006659786580917179,-0.005418291122501641,Over
IT1,09/10/2022,14:00,Udinese,Atalanta,2,2,D,2.56,3.41,2.76,1.85,1.98,0.00924339580778618,-0.006057367095109928,Over
IT1,09/10/2022,17:00,Cremonese,Napoli,1,4,A,6.93,4.71,1.45,1.67,2.23,-0.012702164141529828,-0.05615614065594622,Over
IT1,09/10/2022,19:45,Roma,Lecce,2,1,H,1.36,4.98,9.21,1.83,2,-0.018516269866098712,0.03112334818133168,Over
IT1,10/10/2022,19:45,Fiorentina,Lazio,0,4,A,2.47,3.44,2.87,1.87,1.96,0.010251359882556214,-0.0033048268317395295,Over
IT1,15/10/2022,14:00,Empoli,Monza,1,0,H,2.54,3.31,2.87,1.95,1.87,0.016347087930122246,-0.00020035405051129054,Under
IT1,15/10/2022,17:00,Torino,Juventus,0,1,A,3.05,3.17,2.5,2.28,1.64,0.028656349432487467,0.004428089318417958,Under
IT1,15/10/2022,19:45,Atalanta,Sassuolo,2,1,H,1.66,4.15,4.94,1.67,2.22,-0.014408751986572578,0.008539596188103706,Over
IT1,16/10/2022,11:30,Inter,Salernitana,2,0,H,1.29,5.85,10.02,1.47,2.68,-0.046250297420428084,0.022737547820990377,Under
IT1,16/10/2022,14:00,Lazio,Udinese,0,0,D,2.19,3.61,3.23,1.68,2.21,-0.006121768895839222,-0.006748342389441527,Under
IT1,16/10/2022,14:00,Spezia,Cremonese,2,2,D,2.47,3.17,3.07,1.99,1.84,0.018711529521323322,0.003128866887334705,Over
IT1,16/10/2022,17:00,Napoli,Bologna,3,2,H,1.26,6,11.54,1.55,2.45,-0.04350505347165346,0.029395915188767652,Over
IT1,16/10/2022,19:45,Verona,Milan,1,2,A,5.98,4.19,1.56,1.77,2.06,-0.003232726571359546,-0.049074631165432404,Over
IT1,17/10/2022,17:30,Sampdoria,Roma,0,1,A,5.01,3.75,1.73,1.94,1.87,0.009984837990187727,-0.03437382677807326,Under
IT1,17/10/2022,19:45,Lecce,Fiorentina,1,1,D,3.83,3.32,2.07,2.13,1.72,0.023180920480814594,-0.011334744429446257,Under
IT1,21/10/2022,19:45,Juventus,Empoli,4,0,H,1.4,4.94,7.8,1.68,2.22,-0.0256013176508395,0.02373376725303228,Over
IT1,22/10/2022,14:00,Salernitana,Spezia,1,0,H,2.02,3.49,3.8,1.95,1.87,0.013390829518589439,0.010851290601927768,Under
IT1,22/10/2022,17:00,Milan,Monza,4,1,H,1.4,4.88,7.9,1.64,2.27,-0.027687124565193923,0.02270443642841925,Over
IT1,22/10/2022,19:45,Fiorentina,Inter,3,4,A,3.63,3.54,2.05,1.79,2.04,0.004845128666736619,-0.025845221618930755,Over
IT1,23/10/2022,11:30,Udinese,Torino,1,2,A,2.03,3.37,3.91,2.02,1.8,0.01782529386260782,0.013795998829128827,Over
IT1,23/10/2022,14:00,Bologna,Lecce,2,0,H,2.19,3.21,3.62,2.21,1.67,0.02590122154171726,0.01589335400781506,Under
IT1,23/10/2022,17:00,Atalanta,Lazio,0,2,A,1.98,3.69,3.75,1.71,2.16,-0.0053267620363982885,-0.00017126356136082293,Under
IT1,23/10/2022,19:45,Roma,Napoli,0,1,A,2.89,3.52,2.41,1.79,2.03,0.005206850318508755,-0.014671021085722909,Under
IT1,24/10/2022,17:30,Cremonese,Sampdoria,0,1,A,2.46,3.32,2.95,1.94,1.87,0.015758518315933067,0.0008712985517666135,Under
IT1,24/10/2022,19:45,Sassuolo,Verona,2,1,H,1.96,3.61,3.82,1.71,2.13,-0.004168697598964843,0.0005699458978860196,Over
IT1,29/10/2022,14:00,Napoli,Sassuolo,4,0,H,1.29,5.91,9.52,1.44,2.73,-0.047042087552682584,0.020487065133931736,Over
IT1,29/10/2022,17:00,Lecce,Juventus,0,1,A,4.42,3.42,1.89,2.15,1.7,0.02161366757476573,-0.017495739639843823,Under
IT1,29/10/2022,19:45,Inter,Sampdoria,3,0,H,1.25,6.15,12.03,1.53,2.48,-0.045357213139790645,0.029726961557678556,Over
IT1,30/10/2022,11:30,Empoli,Atalanta,0,2,A,4.35,3.79,1.8,1.76,2.06,0.0010999696309770596,-0.035902007245822806,Under
IT1,30/10/2022,14:00,Cremonese,Udinese,0,0,D,4.01,3.76,1.87,1.73,2.1,-0.00042927697666666944,-0.0331240422974635,Under
IT1,30/10/2022,14:00,Spezia,Fiorentina,1,2,A,4.1,3.59,1.89,1.91,1.89,0.011784442147736591,-0.026007311056602058,Over
IT1,30/10/2022,17:00,Lazio,Salernitana,1,3,A,1.49,4.53,6.35,1.63,2.27,-0.022730408637525096,0.015637352942405244,Over
IT1,30/10/2022,19:45,Torino,Milan,2,1,H,3.63,3.33,2.12,2.13,1.72,0.02367230610801597,-0.008813663446694877,Over
IT1,31/10/2022,17:30,Verona,Roma,1,3,A,4.32,3.59,1.84,1.91,1.88,0.011483811574227053,-0.028397446497055227,Over
IT1,31/10/2022,19:45,Monza,Bologna,1,2,A,2.22,3.33,3.32,1.91,1.88,0.013492325918054604,0.004415706990147733,Over
IT1,04/11/2022,19:45,Udinese,Lecce,1,1,D,1.65,3.85,5.66,1.94,1.88,0.005244173686494776,0.02210812857436104,Under
IT1,05/11/2022,14:00,Empoli,Sassuolo,1,0,H,2.79,3.48,2.51,1.7,2.17,-0.0020026353467964115,-0.01695062332628105,Under
IT1,05/11/2022,14:00,Salernitana,Cremonese,2,2,D,2.17,3.42,3.43,1.97,1.85,0.0158871032127238,0.008202469576763544,Over
IT1,05/11/2022,17:00,Atalanta,Napoli,1,2,A,3.39,3.69,2.1,1.68,2.21,-0.0044518547734831064,-0.02694966779531435,Over
IT1,05/11/2022,19:45,Milan,Spezia,2,1,H,1.22,6.54,13.51,1.56,2.4,-0.04598126130909006,0.03260539808029688,Over
IT1,06/11/2022,11:30,Bologna,Torino,2,1,H,3.05,3.13,2.51,2.28,1.64,0.028763524776147388,0.004421197831946519,Over
IT1,06/11/2022,14:00,Monza,Verona,2,0,H,2.2,3.45,3.32,1.88,1.93,0.010442822759762225,0.003177110239939158,Under
IT1,06/11/2022,14:00,Sampdoria,Fiorentina,0,2,A,4.06,3.49,1.95,2.02,1.81,0.0175114272090506,-0.019973220111960274,Under
IT1,06/11/2022,17:00,Roma,Lazio,0,1,A,2.03,3.52,3.74,1.91,1.91,0.010809271320773042,0.008687244438625726,Under
IT1,06/11/2022,19:45,Juventus,Inter,2,0,H,3.05,3.35,2.39,1.96,1.86,0.017050770423109485,-0.008556035242473127,Under
